Timestamp,BatchID,DissolvedOxygen,Temperature,pH,Yield,AlarmTriggered,AlarmType(s)
2024-08-23 15:53:16,40,39.7,36.0,6.48,2.24,1,pHOutOfRange
2024-08-24 15:53:16,41,41.4,40.5,7.04,2.65,1,HighTemp
2024-08-25 15:53:16,42,25.1,37.2,7.13,3.68,0,
2024-08-26 15:53:16,43,51.6,30.2,7.55,0.93,1,"DOOutOfRange, pHOutOfRange"
2024-08-27 15:53:16,44,41.7,37.1,6.57,3.74,0,
2024-08-28 15:53:16,45,48.9,40.9,7.55,1.42,1,"HighTemp, pHOutOfRange"
2024-08-29 15:53:16,46,36.0,35.5,6.73,3.61,0,
2024-08-30 15:53:16,47,21.0,38.1,7.5,2.17,1,pHOutOfRange
2024-08-31 15:53:16,48,43.6,39.5,6.58,3.71,0,
2024-09-01 15:53:16,49,22.4,33.1,7.56,2.58,1,pHOutOfRange
2024-09-02 15:53:16,50,33.2,36.0,7.29,3.72,0,
2024-09-03 15:53:16,51,37.2,38.4,6.69,3.65,0,
2024-09-04 15:53:16,52,45.8,39.7,7.25,3.65,0,
2024-09-05 15:53:16,53,32.1,34.9,6.75,3.68,0,
2024-09-06 15:53:16,54,35.1,39.8,7.4,3.62,0,
2024-09-07 15:53:16,55,27.0,38.9,6.53,3.63,0,
2024-09-08 15:53:16,56,19.4,31.6,6.81,2.36,1,DOOutOfRange
2024-09-09 15:53:16,57,47.2,37.8,7.06,3.62,0,
2024-09-10 15:53:16,58,40.7,32.3,6.82,3.79,0,
2024-09-11 15:53:16,59,20.8,30.8,7.55,1.92,1,pHOutOfRange
2024-09-12 15:53:16,60,40.4,36.1,6.96,3.68,0,
2024-09-13 15:53:16,61,47.5,31.3,6.73,3.78,0,
2024-09-14 15:53:16,62,31.5,34.2,7.02,3.63,0,
2024-09-15 15:53:16,63,45.5,40.5,7.15,2.67,1,HighTemp
2024-09-16 15:53:16,64,37.4,41.0,7.24,1.86,1,HighTemp
2024-09-17 15:53:16,65,34.6,39.5,7.3,3.71,0,
2024-09-18 15:53:16,66,38.1,34.9,6.43,2.58,1,pHOutOfRange
2024-09-19 15:53:16,67,28.9,35.1,6.6,3.71,0,
2024-09-20 15:53:16,68,37.4,37.5,7.27,3.71,0,
2024-09-21 15:53:16,69,45.2,35.5,7.2,3.69,0,
2024-09-22 15:53:16,70,21.3,30.8,6.57,3.72,0,
2024-09-23 15:53:16,71,20.9,34.3,7.21,3.76,0,
2024-09-24 15:53:16,72,29.2,33.7,7.58,2.18,1,pHOutOfRange
2024-09-25 15:53:16,73,28.9,39.7,6.93,3.78,0,
2024-09-26 15:53:16,74,30.4,32.5,7.54,1.7,1,pHOutOfRange
2024-09-27 15:53:16,75,50.4,33.0,6.68,1.66,1,DOOutOfRange
